Fourth Line	Second Line	First Line	Date	Duration	Price	Link	
16.03.2026	ОПРФ	03.12_3_zom1_12.30_(02.23)	Круглый стол <Иммунизации против РСВ-инфекции: учет и маршрутизация>	27.03.2026	143	75	https://cloud.oprf.ru/s/NGKNbgA9kStqxkr
16.03.2026	ОПРФ	03.12_3_zom1_12.30_(02.23)	Круглый стол <Иммунизации против РСВ-инфекции: учет и маршрутизация>	27.03.2026	143	75	https://cloud.oprf.ru/s/NGKNbgA9kStqxkr
16.03.2026	ОПРФ	03.12_3_zom1_12.30_(02.23)	Круглый стол <Иммунизации против РСВ-инфекции: учет и маршрутизация>	27.03.2026	143	75	https://cloud.oprf.ru/s/NGKNbgA9kStqxkr
16.03.2026	ОПРФ	03.12_3_zom1_12.30_(02.23)	Круглый стол <Иммунизации против РСВ-инфекции: учет и маршрутизация>	27.03.2026	143	75	https://cloud.oprf.ru/s/NGKNbgA9kStqxkr
16.03.2026	ОПРФ	03.12_3_zom1_12.30_(02.23)	Круглый стол <Иммунизации против РСВ-инфекции: учет и маршрутизация>	27.03.2026	143	75	https://cloud.oprf.ru/s/NGKNbgA9kStqxkr
16.03.2026	ОПРФ	03.12_3_zom1_12.30_(02.23)	Круглый стол <Иммунизации против РСВ-инфекции: учет и маршрутизация>	27.03.2026	143	75	https://cloud.oprf.ru/s/NGKNbgA9kStqxkr
16.03.2026	ОПРФ	03.12_3_zom1_12.30_(02.23)	Круглый стол <Иммунизации против РСВ-инфекции: учет и маршрутизация>	27.03.2026	143	75	https://cloud.oprf.ru/s/NGKNbgA9kStqxkr
16.03.2026	ОПРФ	03.13_3_zom2_11.00_(01.56)	Круглый стол <Управление МКД: Перезагрузка кадров. Диалог вузов и работодателей>	30.03.2026	116	75	https://cloud.oprf.ru/s/raNH9ZxrsQ6TQxj
17.03.2026	ОПРФ	03.16_2_zs_11.00_(03.10)	Расширенный круглый стол <Роль гражданского общества в формировании и реализации национальной политики в постсоветской России (1991-2025 гг.)>	31.03.2026	190	75	https://cloud.oprf.ru/s/5gpyPWocqgioRF8
17.03.2026	ОПРФ	03.16_1_4f_12.00_(02.19)	"Круглый стол <Народная дипломатия ""Россия-Армения"": ретроспектива взаимосотрудничества>"	31.03.2026	139	75	https://cloud.oprf.ru/s/5gpyPWocqgioRF8
18.03.2026	ОПРФ	03.12_3_zom1_12.30_(02.23)	Круглый стол <Иммунизации против РСВ-инфекции: учет и маршрутизация>	27.03.2026	143	75	https://cloud.oprf.ru/s/NGKNbgA9kStqxkr
18.03.2026	ОПРФ	03.17_1_5f_10.30_(06.43)	Всероссийская конференция <Эффективное использование медиации в бизнесе>	31.03.2026	403	75	https://cloud.oprf.ru/s/6kZEJk9fcDs8spH
18.03.2026	ОПРФ	03.17_2_zom1_11.00_(03.05)	Круглый стол <Духовное служение в контексте цифровых угроз традиционным ценностям>	31.03.2026	185	75	https://cloud.oprf.ru/s/6kZEJk9fcDs8spH
18.03.2026	ОПРФ	03.17_3_iva_12.00_(00.42)	Вебинар <Час с МИНЭКОНОМ>	31.03.2026	42	75	https://cloud.oprf.ru/s/6kZEJk9fcDs8spH
18.03.2026	ОПРФ	03.17_4_zom1_15.30_(02.02)	Круглый стол <Патриотическое воспитание и гражданское просвещение в условиях цифровой среды: риски, возможности, ответственность>	31.03.2026	122	75	https://cloud.oprf.ru/s/6kZEJk9fcDs8spH
19.03.2026	ОПРФ	03.18_1_4f_16.00_(01.39)	Заседание Рабочей группы по продвижению функциональных продуктов питания при Общественном совете при Роспотребнадзоре	24.03.2026	99	120	https://cloud.oprf.ru/s/Ef2qcZNXyCXY2Jg
19.03.2026	ОПРФ	03.18_2_zom2_12.00_(00.24)	Заседание исполнительного комитета Общероссийского общественного движения <Корпус <За чистые выборы>	02.04.2026	24	75	https://cloud.oprf.ru/s/Ef2qcZNXyCXY2Jg
19.03.2026	ОПРФ	03.18_3_zom3_12.00_(02.06)	Круглый стол на тему: <Роль молодежи в формировании экосистемы дошкольного детства: от родительских компетенций до профессионального стандарта>	02.04.2026	126	75	https://cloud.oprf.ru/s/Ef2qcZNXyCXY2Jg
20.03.2026;ОПРФ;03.18_1_4f_16.00_(01.39);Заседание Рабочей группы по продвижению функциональных продуктов питания при Общественном совете при Роспотребнадзоре;24.03.2026;99;120;https://cloud.oprf.ru/s/Ef2qcZNXyCXY2Jg
20.03.2026;ОПРФ;03.18_2_zom2_12.00_(00.24);Заседание исполнительного комитета Общероссийского общественного движения <Корпус <За чистые выборы>;02.04.2026;24;75;https://cloud.oprf.ru/s/Ef2qcZNXyCXY2Jg
20.03.2026;ОПРФ;03.18_3_zom3_12.00_(02.06);Круглый стол на тему: <Роль молодежи в формировании экосистемы дошкольного детства: от родительских компетенций до профессионального стандарта>;02.04.2026;126;75;https://cloud.oprf.ru/s/Ef2qcZNXyCXY2Jg
20.03.2026;ОПРФ;03.18_1_4f_16.00_(01.39);Заседание Рабочей группы по продвижению функциональных продуктов питания при Общественном совете при Роспотребнадзоре;24.03.2026;99;120;https://cloud.oprf.ru/s/Ef2qcZNXyCXY2Jg
20.03.2026;ОПРФ;03.18_2_zom2_12.00_(00.24);Заседание исполнительного комитета Общероссийского общественного движения <Корпус <За чистые выборы>;02.04.2026;24;75;https://cloud.oprf.ru/s/Ef2qcZNXyCXY2Jg
20.03.2026;ОПРФ;03.18_3_zom3_12.00_(02.06);Круглый стол на тему: <Роль молодежи в формировании экосистемы дошкольного детства: от родительских компетенций до профессионального стандарта>;02.04.2026;126;75;https://cloud.oprf.ru/s/Ef2qcZNXyCXY2Jg
20.03.2026;ОПРФ;03.18_1_4f_16.00_(01.39);Заседание Рабочей группы по продвижению функциональных продуктов питания при Общественном совете при Роспотребнадзоре;24.03.2026;99;120;https://cloud.oprf.ru/s/Ef2qcZNXyCXY2Jg
20.03.2026;ОПРФ;03.18_2_zom2_12.00_(00.24);Заседание исполнительного комитета Общероссийского общественного движения <Корпус <За чистые выборы>;02.04.2026;24;75;https://cloud.oprf.ru/s/Ef2qcZNXyCXY2Jg
20.03.2026;ОПРФ;03.18_3_zom3_12.00_(02.06);Круглый стол на тему: <Роль молодежи в формировании экосистемы дошкольного детства: от родительских компетенций до профессионального стандарта>;02.04.2026;126;75;https://cloud.oprf.ru/s/Ef2qcZNXyCXY2Jg
23.03.2026;ОПРФ;03.19_2_zs_11.00_(02.03);Круглый стол <Диалог о безопасности: совместные меры по снижению нарушений ПДД среди курьеров и доставщиков на электровелосипедах и самокатах>;26.03.2026;123;120;https://cloud.oprf.ru/s/AxSkH2Xw7mnt9sP
23.03.2026;ОПРФ;03.19_3_zom3_11.30_(01.51);Рабочее совещание на тему: <Меры по противодействию нелегальному майнингу в целях повышения уровня энергетической безопасности страны>;06.04.2026;111;75;https://cloud.oprf.ru/s/AxSkH2Xw7mnt9sP
23.03.2026;ОПРФ;03.19_4_zom1_15.00_(02.30);Подписание стратегического соглашения о намериниях (<Зеленого меморандума>);06.04.2026;150;75;https://cloud.oprf.ru/s/AxSkH2Xw7mnt9sP
23.03.2026;ОПРФ;03.19_2_zs_11.00_(02.03);Круглый стол <Диалог о безопасности: совместные меры по снижению нарушений ПДД среди курьеров и доставщиков на электровелосипедах и самокатах>;26.03.2026;123;120;https://cloud.oprf.ru/s/AxSkH2Xw7mnt9sP
23.03.2026;ОПРФ;03.19_3_zom3_11.30_(01.51);Рабочее совещание на тему: <Меры по противодействию нелегальному майнингу в целях повышения уровня энергетической безопасности страны>;06.04.2026;111;75;https://cloud.oprf.ru/s/AxSkH2Xw7mnt9sP
23.03.2026;ОПРФ;03.19_4_zom1_15.00_(02.30);Подписание стратегического соглашения о намериниях (<Зеленого меморандума>);06.04.2026;150;75;https://cloud.oprf.ru/s/AxSkH2Xw7mnt9sP
23.03.2026;ОПРФ;03.19_2_zs_11.00_(02.03);Круглый стол <Диалог о безопасности: совместные меры по снижению нарушений ПДД среди курьеров и доставщиков на электровелосипедах и самокатах>;26.03.2026;123;120;https://cloud.oprf.ru/s/AxSkH2Xw7mnt9sP
23.03.2026;ОПРФ;03.19_3_zom3_11.30_(01.51);Рабочее совещание на тему: <Меры по противодействию нелегальному майнингу в целях повышения уровня энергетической безопасности страны>;06.04.2026;111;75;https://cloud.oprf.ru/s/AxSkH2Xw7mnt9sP
23.03.2026;ОПРФ;03.19_4_zom1_15.00_(02.30);Подписание стратегического соглашения о намериниях (<Зеленого меморандума>);06.04.2026;150;75;https://cloud.oprf.ru/s/AxSkH2Xw7mnt9sP
23.03.2026;ОПРФ;03.19_2_zs_11.00_(02.03);Круглый стол <Диалог о безопасности: совместные меры по снижению нарушений ПДД среди курьеров и доставщиков на электровелосипедах и самокатах>;26.03.2026;123;120;https://cloud.oprf.ru/s/AxSkH2Xw7mnt9sP
23.03.2026;ОПРФ;03.19_3_zom3_11.30_(01.51);Рабочее совещание на тему: <Меры по противодействию нелегальному майнингу в целях повышения уровня энергетической безопасности страны>;06.04.2026;111;75;https://cloud.oprf.ru/s/AxSkH2Xw7mnt9sP
23.03.2026;ОПРФ;03.19_4_zom1_15.00_(02.30);Подписание стратегического соглашения о намериниях (<Зеленого меморандума>);06.04.2026;150;75;https://cloud.oprf.ru/s/AxSkH2Xw7mnt9sP
23.03.2026;ОПРФ;03.19_2_zs_11.00_(02.03);Круглый стол <Диалог о безопасности: совместные меры по снижению нарушений ПДД среди курьеров и доставщиков на электровелосипедах и самокатах>;26.03.2026;123;120;https://cloud.oprf.ru/s/AxSkH2Xw7mnt9sP
23.03.2026;ОПРФ;03.19_3_zom3_11.30_(01.51);Рабочее совещание на тему: <Меры по противодействию нелегальному майнингу в целях повышения уровня энергетической безопасности страны>;06.04.2026;111;75;https://cloud.oprf.ru/s/AxSkH2Xw7mnt9sP
23.03.2026;ОПРФ;03.19_4_zom1_15.00_(02.30);Подписание стратегического соглашения о намериниях (<Зеленого меморандума>);06.04.2026;150;75;https://cloud.oprf.ru/s/AxSkH2Xw7mnt9sP
